,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
62,2018-12-01,1181345.7179409913,1148795.0656888108,1208517.5585511657,1181345.7179409913,1181345.7179409913,-3112.43101711924,-3112.43101711924,-3112.43101711924,-3112.43101711924,-3112.43101711924,-3112.43101711924,0.0,0.0,0.0,1178233.286923872
63,2019-01-01,1191999.8639553336,1159366.0299328407,1220654.7773350822,1191999.8639553336,1191999.8639553336,-1123.710232210897,-1123.710232210897,-1123.710232210897,-1123.710232210897,-1123.710232210897,-1123.710232210897,0.0,0.0,0.0,1190876.1537231228
64,2019-02-01,1202654.009969676,1169007.347658773,1228752.2929669365,1202654.009969676,1202654.009969676,-4796.51132261493,-4796.51132261493,-4796.51132261493,-4796.51132261493,-4796.51132261493,-4796.51132261493,0.0,0.0,0.0,1197857.498647061
65,2019-03-01,1212277.8755495786,1172008.852296646,1234421.119055325,1212277.8755495786,1212277.8755495786,-9055.732375984097,-9055.732375984097,-9055.732375984097,-9055.732375984097,-9055.732375984097,-9055.732375984097,0.0,0.0,0.0,1203222.1431735945
66,2019-04-01,1222932.869584471,1190193.6431866116,1250572.525437919,1222932.869584471,1222932.869584471,-3887.7112195554428,-3887.7112195554428,-3887.7112195554428,-3887.7112195554428,-3887.7112195554428,-3887.7112195554428,0.0,0.0,0.0,1219045.1583649155
67,2019-05-01,1233244.154134367,1197960.4485393052,1263176.8500744295,1233244.154134367,1233244.154134367,-1306.6956155604125,-1306.6956155604125,-1306.6956155604125,-1306.6956155604125,-1306.6956155604125,-1306.6956155604125,0.0,0.0,0.0,1231937.4585188064
68,2019-06-01,1243900.5952672106,1222243.7203684929,1281902.016638078,1243900.5952672106,1243900.5952672106,8567.26609281518,8567.26609281518,8567.26609281518,8567.26609281518,8567.26609281518,8567.26609281518,0.0,0.0,0.0,1252467.8613600258
69,2019-07-01,1254213.2802344789,1229650.5481084757,1293535.051039154,1254213.2802344789,1254213.2802344789,8309.997490188072,8309.997490188072,8309.997490188072,8309.997490188072,8309.997490188072,8309.997490188072,0.0,0.0,0.0,1262523.277724667
70,2019-08-01,1264869.7213673224,1247134.52026356,1307330.5036149314,1264869.7213673224,1264869.7213673224,11342.75801940645,11342.75801940645,11342.75801940645,11342.75801940645,11342.75801940645,11342.75801940645,0.0,0.0,0.0,1276212.4793867287
71,2019-09-01,1275526.162500166,1239745.3220864157,1303314.9783140982,1275526.162500166,1275526.162500166,-4511.035923475632,-4511.035923475632,-4511.035923475632,-4511.035923475632,-4511.035923475632,-4511.035923475632,0.0,0.0,0.0,1271015.1265766905
72,2019-10-01,1285838.8474674344,1256749.196617771,1315404.4747114617,1285838.8474674344,1285838.8474674344,-808.2686901544857,-808.2686901544857,-808.2686901544857,-808.2686901544857,-808.2686901544857,-808.2686901544857,0.0,0.0,0.0,1285030.57877728
73,2019-11-01,1296495.2886002779,1272211.0186293307,1333363.2279355954,1296495.2886002779,1296495.2886002779,4682.980904534748,4682.980904534748,4682.980904534748,4682.980904534748,4682.980904534748,4682.980904534748,0.0,0.0,0.0,1301178.2695048125
74,2019-12-01,1306807.973567546,1278655.3259777438,1338232.1922906432,1306807.973567546,1306807.973567546,1797.0636086336208,1797.0636086336208,1797.0636086336208,1797.0636086336208,1797.0636086336208,1797.0636086336208,0.0,0.0,0.0,1308605.0371761797
75,2020-01-01,1317464.4147003896,1285649.9900840262,1348425.4454166759,1317464.4147003896,1317464.4147003896,-215.25492059570158,-215.25492059570158,-215.25492059570158,-215.25492059570158,-215.25492059570158,-215.25492059570158,0.0,0.0,0.0,1317249.1597797938
76,2020-02-01,1328120.8558332336,1294848.4036574303,1354309.3703147434,1328120.8558332336,1328120.8558332336,-4603.569336290452,-4603.569336290452,-4603.569336290452,-4603.569336290452,-4603.569336290452,-4603.569336290452,0.0,0.0,0.0,1323517.286496943
77,2020-03-01,1338089.784634926,1308884.9240897144,1372333.039806937,1338089.784634926,1338089.784634926,2663.437343745959,2663.437343745959,2663.437343745959,2663.437343745959,2663.437343745959,2663.437343745959,0.0,0.0,0.0,1340753.2219786718
78,2020-04-01,1348746.2257677699,1319071.7244787035,1382149.756595462,1348746.2257677699,1348746.2257677699,2884.8699284994927,2884.8699284994927,2884.8699284994927,2884.8699284994927,2884.8699284994927,2884.8699284994927,0.0,0.0,0.0,1351631.0956962693
79,2020-05-01,1359058.910735038,1326946.978683259,1386059.6547125261,1359058.910735038,1359058.910735038,-1400.1633079423432,-1400.1633079423432,-1400.1633079423432,-1400.1633079423432,-1400.1633079423432,-1400.1633079423432,0.0,0.0,0.0,1357658.7474270957
80,2020-06-01,1369715.3518678816,1344242.9498047344,1404128.0031825246,1369715.3518678816,1369715.3518678816,5399.13108349676,5399.13108349676,5399.13108349676,5399.13108349676,5399.13108349676,5399.13108349676,0.0,0.0,0.0,1375114.4829513784
81,2020-07-01,1380028.0368351499,1344800.9543962893,1406353.1289782263,1380028.0368351499,1380028.0368351499,-5128.343170705478,-5128.343170705478,-5128.343170705478,-5128.343170705478,-5128.343170705478,-5128.343170705478,0.0,0.0,0.0,1374899.6936644444
82,2020-08-01,1390684.4779679936,1339951.8190537523,1403522.9031986946,1390684.4779679936,1390684.4779679936,-19085.128603605062,-19085.128603605062,-19085.128603605062,-19085.128603605062,-19085.128603605062,-19085.128603605062,0.0,0.0,0.0,1371599.3493643885
83,2020-09-01,1401340.919100837,1410677.0916563997,1474030.0149072884,1401340.9191008369,1401340.9191008369,41518.567491427646,41518.567491427646,41518.567491427646,41518.567491427646,41518.567491427646,41518.567491427646,0.0,0.0,0.0,1442859.4865922648
84,2020-10-01,1411653.6040681053,1393674.219819722,1455955.3532941882,1411653.6040681053,1411653.6040681053,14501.403861527175,14501.403861527175,14501.403861527175,14501.403861527175,14501.403861527175,14501.403861527175,0.0,0.0,0.0,1426155.0079296324
85,2020-10-31,1421966.2890353734,1402563.3869611274,1464779.710211622,1421898.171974888,1422047.5701485623,10945.348489716904,10945.348489716904,10945.348489716904,10945.348489716904,10945.348489716904,10945.348489716904,0.0,0.0,0.0,1432911.6375250902
86,2020-11-30,1432278.9740026416,1407485.7550793816,1470179.017795708,1431548.364488695,1433144.6153609492,6661.792141544214,6661.792141544214,6661.792141544214,6661.792141544214,6661.792141544214,6661.792141544214,0.0,0.0,0.0,1438940.7661441858
87,2020-12-31,1442935.4151354856,1411689.551796253,1473398.9980727625,1441184.937259219,1445121.561565678,576.8165411447137,576.8165411447137,576.8165411447137,576.8165411447137,576.8165411447137,576.8165411447137,0.0,0.0,0.0,1443512.2316766302
88,2021-01-31,1453591.856268329,1419257.8494982189,1478704.9320619542,1450744.0804571449,1457103.8730820548,-4525.605988177706,-4525.605988177706,-4525.605988177706,-4525.605988177706,-4525.605988177706,-4525.605988177706,0.0,0.0,0.0,1449066.2502801514
89,2021-02-28,1463217.028904446,1413533.4641187408,1475008.377177663,1458909.5591042503,1468103.5295293098,-16980.537545865256,-16980.537545865256,-16980.537545865256,-16980.537545865256,-16980.537545865256,-16980.537545865256,0.0,0.0,0.0,1446236.4913585808
90,2021-03-31,1473873.4700372897,1435300.7258282092,1497968.9738398986,1468015.3529480621,1480808.6379580807,-8007.815934278868,-8007.815934278868,-8007.815934278868,-8007.815934278868,-8007.815934278868,-8007.815934278868,0.0,0.0,0.0,1465865.654103011
91,2021-04-30,1484186.1550045577,1451813.474406366,1516088.9336496217,1476437.595762273,1492897.5892897486,-698.0607800538451,-698.0607800538451,-698.0607800538451,-698.0607800538451,-698.0607800538451,-698.0607800538451,0.0,0.0,0.0,1483488.0942245037
92,2021-05-31,1494842.5961374014,1474130.5845750915,1538829.1901327136,1485512.8100186521,1505368.9223461158,11186.291949279748,11186.291949279748,11186.291949279748,11186.291949279748,11186.291949279748,11186.291949279748,0.0,0.0,0.0,1506028.8880866813
93,2021-06-30,1505155.28110467,1488069.0578201949,1558811.4179275949,1493671.7446273454,1517624.6392341712,17396.351620231795,17396.351620231795,17396.351620231795,17396.351620231795,17396.351620231795,17396.351620231795,0.0,0.0,0.0,1522551.6327249017
94,2021-07-31,1515811.7222375134,1514129.996595309,1578839.9021005454,1502003.4578888773,1530326.6717915977,29988.967435028786,29988.967435028786,29988.967435028786,29988.967435028786,29988.967435028786,29988.967435028786,0.0,0.0,0.0,1545800.6896725423
95,2021-08-31,1526468.1633703571,1455963.9262338006,1526060.7862593029,1510350.382956187,1543185.3105107534,-36282.79699957875,-36282.79699957875,-36282.79699957875,-36282.79699957875,-36282.79699957875,-36282.79699957875,0.0,0.0,0.0,1490185.3663707783
96,2021-09-30,1536780.8483376254,1491863.4306577316,1562873.885477035,1517951.4021069992,1555844.7729935553,-9526.1383609558,-9526.1383609558,-9526.1383609558,-9526.1383609558,-9526.1383609558,-9526.1383609558,0.0,0.0,0.0,1527254.7099766696
