,Date,Sold_Units,Retail_Sales (in USD)
454,2020-12-27,3370.0,505500.0
455,2020-12-28,10986.0,1647900.0
456,2020-12-29,10880.0,1632000.0
457,2020-12-30,8505.0,1275750.0
458,2020-12-31,8448.0,1267200.0
459,2021-01-01,7411.0,1111650.0
460,2021-01-02,4515.0,677250.0
461,2021-01-03,3817.0,572550.0
462,2021-01-04,9455.0,1418250.0
463,2021-01-05,9265.0,1389750.0
464,2021-01-06,8774.0,1316100.0
465,2021-01-07,8922.0,1338300.0
466,2021-01-08,8653.0,1297950.0
467,2021-01-09,3936.0,590400.0
468,2021-01-10,2297.0,344550.0
469,2021-01-11,9616.0,1442400.0
470,2021-01-12,9490.0,1423500.0
471,2021-01-13,8159.0,1223850.0
472,2021-01-14,8080.0,1212000.0
473,2021-01-15,8231.0,1234650.0
474,2021-01-16,4062.0,609300.0
475,2021-01-17,2140.0,321000.0
476,2021-01-18,9030.0,1354500.0
477,2021-01-19,8853.0,1327950.0
478,2021-01-20,7935.0,1190250.0
479,2021-01-21,7816.0,1172400.0
480,2021-01-22,7840.0,1176000.0
481,2021-01-23,3887.0,583050.0
482,2021-01-24,2268.0,340200.0
483,2021-01-25,9168.0,1375200.0
484,2021-01-26,9062.0,1359300.0
485,2021-01-27,8969.0,1345350.0
486,2021-01-28,8925.0,1338750.0
487,2021-01-29,8953.0,1342950.0
488,2021-01-30,4542.0,681300.0
489,2021-01-31,2370.0,355500.0
490,2021-02-01,9033.0,1354950.0
491,2021-02-02,9765.0,1464750.0
492,2021-02-03,8771.0,1315650.0
493,2021-02-04,9130.0,1369500.0
494,2021-02-05,9170.0,1375500.0
495,2021-02-06,3957.0,593550.0
496,2021-02-07,2142.0,321300.0
497,2021-02-08,10158.0,1523700.0
498,2021-02-09,9963.0,1494450.0
499,2021-02-10,8221.0,1233150.0
500,2021-02-11,8178.0,1226700.0
501,2021-02-12,8335.0,1250250.0
502,2021-02-13,4086.0,612900.0
503,2021-02-14,2183.0,327450.0
504,2021-02-15,9561.0,1434150.0
505,2021-02-16,9365.0,1404750.0
506,2021-02-17,7708.0,1156200.0
507,2021-02-18,7593.0,1138950.0
508,2021-02-19,7482.0,1122300.0
509,2021-02-20,3874.0,581100.0
510,2021-02-21,2683.0,402450.0
511,2021-02-22,9245.0,1386750.0
512,2021-02-23,9407.0,1411050.0
513,2021-02-24,7846.0,1176900.0
514,2021-02-25,7694.0,1154100.0
515,2021-02-26,7926.0,1188900.0
516,2021-02-27,4326.0,648900.0
517,2021-02-28,2624.0,393600.0
518,2021-03-01,9425.0,1413750.0
519,2021-03-02,10161.0,1524150.0
520,2021-03-03,8620.0,1293000.0
521,2021-03-04,9051.0,1357650.0
522,2021-03-05,9099.0,1364850.0
523,2021-03-06,4059.0,608850.0
524,2021-03-07,2885.0,432750.0
525,2021-03-08,10339.0,1550850.0
526,2021-03-09,10146.0,1521900.0
527,2021-03-10,8109.0,1216350.0
528,2021-03-11,8145.0,1221750.0
529,2021-03-12,8295.0,1244250.0
530,2021-03-13,4229.0,634350.0
531,2021-03-14,2722.0,408300.0
532,2021-03-15,9667.0,1450050.0
533,2021-03-16,9500.0,1425000.0
534,2021-03-17,7780.0,1167000.0
535,2021-03-18,7675.0,1151250.0
536,2021-03-19,7523.0,1128450.0
537,2021-03-20,3860.0,579000.0
538,2021-03-21,2302.0,345300.0
539,2021-03-22,9380.0,1407000.0
540,2021-03-23,9582.0,1437300.0
541,2021-03-24,7798.0,1169700.0
542,2021-03-25,7659.0,1148850.0
543,2021-03-26,7882.0,1182300.0
544,2021-03-27,4091.0,613650.0
545,2021-03-28,2184.0,327600.0
546,2021-03-29,9625.0,1443750.0
547,2021-03-30,9587.0,1438050.0
548,2021-03-31,8584.0,1287600.0
549,2021-04-01,8904.0,1335600.0
550,2021-04-02,9182.0,1377300.0
551,2021-04-03,4342.0,651300.0
552,2021-04-04,2575.0,386250.0
553,2021-04-05,10386.0,1557900.0
554,2021-04-06,10196.0,1529400.0
555,2021-04-07,8290.0,1243500.0
556,2021-04-08,8202.0,1230300.0
557,2021-04-09,8262.0,1239300.0
558,2021-04-10,4010.0,601500.0
559,2021-04-11,2551.0,382650.0
560,2021-04-12,9904.0,1485600.0
561,2021-04-13,9994.0,1499100.0
562,2021-04-14,7477.0,1121550.0
563,2021-04-15,7490.0,1123500.0
564,2021-04-16,7493.0,1123950.0
565,2021-04-17,3980.0,597000.0
566,2021-04-18,2220.0,333000.0
567,2021-04-19,8737.0,1310550.0
568,2021-04-20,9197.0,1379550.0
569,2021-04-21,7153.0,1072950.0
570,2021-04-22,7070.0,1060500.0
571,2021-04-23,6993.0,1048950.0
572,2021-04-24,3723.0,558450.0
573,2021-04-25,2270.0,340500.0
574,2021-04-26,9297.0,1394550.0
575,2021-04-27,9582.0,1437300.0
576,2021-04-28,8647.0,1297050.0
577,2021-04-29,8486.0,1272900.0
578,2021-04-30,8046.0,1206900.0
579,2021-05-01,4451.0,667650.0
580,2021-05-02,2687.0,403050.0
581,2021-05-03,10437.0,1565550.0
582,2021-05-04,10670.0,1600500.0
583,2021-05-05,8147.0,1222050.0
584,2021-05-06,8692.0,1303800.0
585,2021-05-07,8484.0,1272600.0
586,2021-05-08,4006.0,600900.0
587,2021-05-09,2505.0,375750.0
588,2021-05-10,9563.0,1434450.0
589,2021-05-11,10321.0,1548150.0
590,2021-05-12,8476.0,1271400.0
591,2021-05-13,8503.0,1275450.0
592,2021-05-14,8601.0,1290150.0
593,2021-05-15,4291.0,643650.0
594,2021-05-16,2285.0,342750.0
595,2021-05-17,9552.0,1432800.0
596,2021-05-18,10006.0,1500900.0
597,2021-05-19,8486.0,1272900.0
598,2021-05-20,8458.0,1268700.0
599,2021-05-21,8469.0,1270350.0
600,2021-05-22,3860.0,579000.0
601,2021-05-23,2169.0,325350.0
602,2021-05-24,10672.0,1600800.0
603,2021-05-25,11043.0,1656450.0
604,2021-05-26,8406.0,1260900.0
605,2021-05-27,8574.0,1286100.0
606,2021-05-28,8732.0,1309800.0
607,2021-05-29,4203.0,630450.0
608,2021-05-30,2465.0,369750.0
609,2021-05-31,10626.0,1593900.0
610,2021-06-01,10292.0,1543800.0
611,2021-06-02,9195.0,1379250.0
612,2021-06-03,9358.0,1403700.0
613,2021-06-04,9406.0,1410900.0
614,2021-06-05,4298.0,644700.0
615,2021-06-06,2658.0,398700.0
616,2021-06-07,10940.0,1641000.0
617,2021-06-08,11354.0,1703100.0
618,2021-06-09,9149.0,1372350.0
619,2021-06-10,9142.0,1371300.0
620,2021-06-11,9163.0,1374450.0
621,2021-06-12,4611.0,691650.0
622,2021-06-13,2782.0,417300.0
623,2021-06-14,10217.0,1532550.0
624,2021-06-15,10795.0,1619250.0
625,2021-06-16,9026.0,1353900.0
626,2021-06-17,8979.0,1346850.0
627,2021-06-18,8886.0,1332900.0
628,2021-06-19,4347.0,652050.0
629,2021-06-20,2471.0,370650.0
630,2021-06-21,11358.0,1703700.0
631,2021-06-22,11436.0,1715400.0
632,2021-06-23,8756.0,1313400.0
633,2021-06-24,8663.0,1299450.0
634,2021-06-25,8717.0,1307550.0
635,2021-06-26,4747.0,712050.0
636,2021-06-27,2673.0,400950.0
637,2021-06-28,11661.0,1749150.0
638,2021-06-29,11658.0,1748700.0
639,2021-06-30,9379.0,1406850.0
640,2021-07-01,9552.0,1432800.0
641,2021-07-02,9745.0,1461750.0
642,2021-07-03,4747.0,712050.0
643,2021-07-04,2691.0,403650.0
644,2021-07-05,12167.0,1825050.0
645,2021-07-06,12207.0,1831050.0
646,2021-07-07,9437.0,1415550.0
647,2021-07-08,9241.0,1386150.0
648,2021-07-09,9198.0,1379700.0
649,2021-07-10,4432.0,664800.0
650,2021-07-11,2860.0,429000.0
651,2021-07-12,11870.0,1780500.0
652,2021-07-13,11667.0,1750050.0
653,2021-07-14,9051.0,1357650.0
654,2021-07-15,9022.0,1353300.0
655,2021-07-16,8978.0,1346700.0
656,2021-07-17,4472.0,670800.0
657,2021-07-18,2471.0,370650.0
658,2021-07-19,11557.0,1733550.0
659,2021-07-20,11465.0,1719750.0
660,2021-07-21,8796.0,1319400.0
661,2021-07-22,8685.0,1302750.0
662,2021-07-23,8650.0,1297500.0
663,2021-07-24,4524.0,678600.0
664,2021-07-25,2611.0,391650.0
665,2021-07-26,11736.0,1760400.0
666,2021-07-27,11654.0,1748100.0
667,2021-07-28,9591.0,1438650.0
668,2021-07-29,9528.0,1429200.0
669,2021-07-30,9264.0,1389600.0
670,2021-07-31,5669.0,850350.0
